               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.047738,            0.084009,            0.093574,             0.33119,             0.12986,             0.13298,            0.080198,            0.042995,            0.050983,            0.081051,            0.070476,           0.0032804,           0.0032804
                   1,            0.043881,            0.058525,            0.083443,             0.40191,             0.14688,             0.16019,            0.098472,             0.04087,            0.040926,            0.068606,            0.040476,           0.0066131,           0.0066131
                   2,            0.041181,            0.052487,            0.071897,             0.47847,             0.17483,             0.20158,             0.12179,             0.04043,             0.03946,            0.060584,            0.010474,           0.0099451,           0.0099451
                   3,            0.040567,            0.050571,             0.06625,             0.47708,             0.20966,             0.24645,             0.14757,             0.03876,            0.036207,            0.053711,            0.009997,            0.009997,            0.009997
                   4,            0.040082,            0.048828,            0.058879,               0.462,             0.23454,             0.25564,             0.15661,            0.037668,            0.036455,            0.051768,            0.009997,            0.009997,            0.009997
                   5,            0.040818,            0.048606,            0.054704,             0.48162,             0.26604,             0.31264,             0.19214,            0.036863,            0.035292,            0.043866,            0.009996,            0.009996,            0.009996
                   6,            0.039463,            0.045414,            0.052279,             0.48687,             0.27081,             0.32261,             0.18818,            0.037611,            0.034119,            0.039512,           0.0099951,           0.0099951,           0.0099951
                   7,            0.039564,            0.049324,            0.049483,             0.50167,             0.31181,              0.3677,             0.22968,            0.035664,            0.033106,            0.035184,           0.0099941,           0.0099941,           0.0099941
                   8,            0.038037,            0.045155,            0.047512,             0.52215,             0.32299,             0.37382,             0.23607,            0.036139,            0.032512,            0.032863,           0.0099931,           0.0099931,           0.0099931
                   9,            0.038015,            0.044911,            0.041633,             0.53736,             0.33061,              0.4059,             0.25774,            0.035562,            0.031151,            0.030581,           0.0099921,           0.0099921,           0.0099921
                  10,             0.03853,            0.043542,            0.045688,             0.52816,              0.3543,             0.42314,             0.27346,            0.035263,             0.03053,            0.028103,           0.0099911,           0.0099911,           0.0099911
                  11,             0.03576,            0.043466,            0.040287,              0.5071,             0.39592,             0.44351,             0.29174,            0.034161,            0.030098,            0.026288,           0.0099901,           0.0099901,           0.0099901
                  12,            0.037594,            0.043832,            0.036747,              0.5707,             0.37457,             0.45885,             0.29615,            0.034982,            0.029721,            0.024554,           0.0099891,           0.0099891,           0.0099891
                  13,            0.037462,            0.041432,             0.03786,             0.54987,             0.41059,             0.47678,             0.31202,            0.034002,            0.028758,            0.023752,           0.0099881,           0.0099881,           0.0099881
                  14,             0.03762,            0.042722,            0.037043,             0.56253,             0.41276,             0.49732,             0.33154,             0.03311,            0.028729,            0.023776,           0.0099871,           0.0099871,           0.0099871
                  15,            0.037066,            0.041941,            0.033452,             0.54897,             0.45182,             0.51902,             0.35222,            0.032291,              0.0275,            0.021963,           0.0099861,           0.0099861,           0.0099861
                  16,            0.035369,            0.040393,            0.032062,             0.56997,             0.47099,             0.54324,             0.35831,            0.032739,            0.026962,            0.020196,           0.0099852,           0.0099852,           0.0099852
                  17,            0.036338,            0.041484,            0.031677,             0.57206,             0.45766,             0.54586,             0.36729,            0.032401,            0.026686,            0.020377,           0.0099842,           0.0099842,           0.0099842
                  18,            0.036365,            0.042924,              0.0302,             0.58323,              0.4738,             0.55092,             0.36494,            0.032248,            0.026696,            0.020308,           0.0099832,           0.0099832,           0.0099832
                  19,            0.035589,            0.039276,            0.031747,             0.59907,             0.47693,             0.56811,             0.38339,            0.031902,            0.026798,            0.019449,           0.0099822,           0.0099822,           0.0099822
                  20,            0.035793,            0.038842,            0.030711,             0.56758,             0.49948,             0.56648,             0.38441,            0.031286,            0.027372,            0.020765,           0.0099812,           0.0099812,           0.0099812
                  21,             0.03623,             0.03958,            0.030429,              0.6447,             0.48297,              0.5969,             0.40953,            0.031307,            0.025466,            0.017585,           0.0099802,           0.0099802,           0.0099802
                  22,            0.035565,            0.039247,            0.029177,             0.64919,             0.50539,             0.61131,             0.41173,            0.030539,             0.02552,            0.016521,           0.0099792,           0.0099792,           0.0099792
                  23,            0.036594,            0.038227,             0.02774,             0.63171,              0.5227,             0.61761,             0.40975,            0.031967,            0.025803,            0.016585,           0.0099782,           0.0099782,           0.0099782
                  24,            0.034855,            0.038522,            0.029189,              0.6695,             0.50285,             0.61444,             0.43179,            0.030189,             0.02532,            0.016268,           0.0099772,           0.0099772,           0.0099772
                  25,            0.033905,            0.038322,            0.027052,             0.66614,             0.54006,             0.62387,             0.43378,             0.02965,            0.024584,            0.014755,           0.0099762,           0.0099762,           0.0099762
                  26,            0.034564,            0.037515,            0.026024,             0.61902,             0.57824,             0.63028,             0.42524,            0.031658,            0.024124,            0.014557,           0.0099753,           0.0099753,           0.0099753
                  27,            0.033626,            0.037113,            0.024555,             0.61906,             0.57791,             0.63898,             0.44344,            0.030153,            0.024198,            0.014363,           0.0099743,           0.0099743,           0.0099743
                  28,            0.035739,            0.038554,            0.025407,             0.69003,             0.57147,             0.65152,              0.4469,            0.030494,            0.023935,             0.01371,           0.0099733,           0.0099733,           0.0099733
                  29,            0.034573,            0.034767,            0.027739,             0.72293,             0.57705,             0.65502,             0.44987,            0.029689,            0.023835,            0.013672,           0.0099723,           0.0099723,           0.0099723
                  30,            0.034908,            0.037455,            0.025442,             0.79793,             0.57557,             0.66444,             0.46461,            0.030124,            0.023913,            0.013372,           0.0099713,           0.0099713,           0.0099713
