               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.026301,            0.044242,            0.047155,             0.61393,             0.53481,             0.54966,             0.50997,             0.02293,            0.026689,            0.036526,              0.0703,              0.0033,              0.0033
                   1,            0.026863,            0.034856,            0.045527,             0.64281,              0.5316,             0.56126,             0.50865,            0.023395,            0.022979,            0.032513,            0.040299,            0.006632,            0.006632
                   2,            0.028706,            0.032033,            0.041105,             0.64659,             0.53585,              0.5755,             0.47213,            0.026201,            0.022314,            0.028292,            0.010296,           0.0099627,           0.0099627
                   3,            0.030397,            0.032576,             0.03736,             0.62534,             0.54534,             0.58184,             0.46398,            0.026685,            0.021632,            0.025442,           0.0099941,           0.0099941,           0.0099941
                   4,            0.031547,            0.033517,            0.035316,             0.62587,             0.55591,             0.60012,             0.46628,            0.026864,            0.021481,            0.022641,           0.0099941,           0.0099941,           0.0099941
                   5,            0.031038,            0.033614,            0.033709,             0.61335,              0.5572,             0.60666,             0.47626,            0.027453,            0.021144,            0.021124,           0.0099921,           0.0099921,           0.0099921
                   6,             0.03082,            0.032847,            0.031555,             0.61666,             0.57516,             0.61442,             0.47499,            0.028054,            0.020799,            0.019966,           0.0099901,           0.0099901,           0.0099901
                   7,            0.031764,            0.032144,            0.030517,             0.60598,             0.57033,             0.61387,             0.47036,            0.026483,            0.020979,            0.019675,           0.0099881,           0.0099881,           0.0099881
                   8,            0.031501,            0.032638,            0.031831,             0.61838,             0.57156,             0.62468,             0.47757,            0.027134,            0.020685,            0.018644,           0.0099861,           0.0099861,           0.0099861
                   9,            0.030833,            0.031447,            0.029124,             0.59021,             0.59566,             0.62632,             0.48135,            0.026903,            0.020138,            0.017136,           0.0099842,           0.0099842,           0.0099842
                  10,            0.031201,            0.031327,            0.025874,             0.63113,             0.58403,             0.63206,             0.48765,            0.027005,            0.019687,            0.016276,           0.0099822,           0.0099822,           0.0099822
